,abv,country,gold,silver,bronze,total
0,AUT,Austria,6,7,8,21
1,CAN,Canada,2,3,2,7
2,TCH,Czechoslovakia,0,0,3,3
3,PRK,Democratic People's Republic of Korea,0,0,1,1
4,FIN,Finland,3,1,3,7
5,FRA,France,3,5,1,9
6,GER,Germany,10,10,6,26
7,ITA,Italy,4,6,4,14
8,JPN,Japan,1,2,4,7
9,LUX,Luxembourg,0,2,0,2
10,NED,Netherlands,1,1,2,4
11,NZL,New Zealand,0,1,0,1
12,NOR,Norway,9,6,5,20
13,CHN,People's Republic of China,0,3,0,3
14,KOR,Republic of Korea,2,1,1,4
15,ESP,Spain,0,0,1,1
16,SWE,Sweden,1,0,3,4
17,SUI,Switzerland,1,0,2,3
18,EUN,Unified Team,9,6,8,23
19,USA,United States of America,5,4,2,11
