,abv,country,gold,silver,bronze,total
0,ARG,Argentina,3,3,1,7
1,AUS,Australia,1,2,1,4
2,AUT,Austria,3,0,1,4
3,BEL,Belgium,0,1,2,3
4,CAN,Canada,4,4,7,15
5,CHI,Chile,0,1,0,1
6,TCH,Czechoslovakia,2,5,2,9
7,DEN,Denmark,3,2,4,9
8,EGY,Egypt,2,1,1,4
9,EST,Estonia,2,1,2,5
10,FIN,Finland,8,8,9,25
11,FRA,France,7,12,6,25
12,GER,Germany,11,9,19,39
13,GBR,Great Britain,4,11,7,22
14,HAI,Haiti,0,1,0,1
15,HUN,Hungary,5,5,0,10
16,IND,India,1,0,0,1
17,IRL,Ireland,1,0,0,1
18,ITA,Italy,7,6,7,20
19,JPN,Japan,2,2,1,5
20,LUX,Luxembourg,1,0,0,1
21,NED,Netherlands,8,10,5,23
22,NZL,New Zealand,1,0,0,1
23,NOR,Norway,1,2,1,4
24,PHI,Philippines,0,0,1,1
25,POL,Poland,2,1,4,7
26,POR,Portugal,0,0,1,1
27,RSA,South Africa,1,0,2,3
28,ESP,Spain,1,0,0,1
29,SWE,Sweden,7,6,12,25
30,SUI,Switzerland,7,6,4,17
31,USA,United States of America,22,18,16,56
32,URU,Uruguay,1,0,0,1
33,YUG,Yugoslavia,1,1,3,5
