,abv,country,gold,silver,bronze,total
0,AUS,Australia,0,2,1,3
1,BEL,Belgium,16,12,14,42
2,BRA,Brazil,1,1,1,3
3,CAN,Canada,3,3,3,9
4,TCH,Czechoslovakia,0,0,2,2
5,DEN,Denmark,3,9,1,13
6,EST,Estonia,1,2,0,3
7,FIN,Finland,15,10,9,34
8,FRA,France,9,20,13,42
9,GBR,Great Britain,14,16,13,43
10,GRE,Greece,0,1,0,1
11,ITA,Italy,14,6,5,25
12,JPN,Japan,0,2,0,2
13,LUX,Luxembourg,0,1,0,1
14,NED,Netherlands,4,2,5,11
15,NZL,New Zealand,0,0,1,1
16,NOR,Norway,13,10,9,32
17,RSA,South Africa,3,4,3,10
18,ESP,Spain,0,2,0,2
19,SWE,Sweden,19,20,25,64
20,SUI,Switzerland,2,2,7,11
21,USA,United States of America,41,27,27,95
