,abv,country,gold,silver,bronze,total
0,ARG,Argentina,2,0,4,6
1,AUS,Australia,17,16,17,50
2,AUT,Austria,2,4,1,7
3,AZE,Azerbaijan,1,0,4,5
4,BAH,Bahamas,1,0,1,2
5,BOC,Belarus,2,5,6,13
6,BEL,Belgium,1,0,2,3
7,BRA,Brazil,5,2,3,10
8,BUL,Bulgaria,2,1,9,12
9,CMR,Cameroon,1,0,0,1
10,CAN,Canada,3,6,3,12
11,CHI,Chile,2,0,1,3
12,TPE,Chinese Taipei,2,2,1,5
13,COL,Colombia,0,0,2,2
14,CRO,Croatia,1,2,2,5
15,CUB,Cuba,9,7,11,27
16,CZE,Czechia,1,3,5,9
17,PRK,Democratic People's Republic of Korea,0,4,1,5
18,DEN,Denmark,2,1,5,8
19,DOM,Dominican Republic,1,0,0,1
20,EGY,Egypt,1,1,3,5
21,ERI,Eritrea,0,0,1,1
22,EST,Estonia,0,1,2,3
23,ETH,Ethiopia,2,3,2,7
24,FIN,Finland,0,2,0,2
25,FRA,France,11,9,13,33
26,GEO,Georgia,2,2,0,4
27,GER,Germany,13,16,20,49
28,GBR,Great Britain,9,9,12,30
29,GRE,Greece,6,6,4,16
30,HKG,"Hong Kong, China",0,1,0,1
31,HUN,Hungary,8,6,3,17
32,IND,India,0,1,0,1
33,INA,Indonesia,1,1,2,4
34,IRI,Islamic Republic of Iran,2,2,2,6
35,ISR,Israel,1,0,1,2
36,ITA,Italy,10,11,11,32
37,JAM,Jamaica,2,1,2,5
38,JPN,Japan,16,9,12,37
39,KAZ,Kazakhstan,1,4,3,8
40,KEN,Kenya,1,4,2,7
41,LAT,Latvia,0,4,0,4
42,LTU,Lithuania,1,2,0,3
43,MEX,Mexico,0,3,1,4
44,MGL,Mongolia,0,0,1,1
45,MAR,Morocco,2,1,0,3
46,NED,Netherlands,4,9,9,22
47,NZL,New Zealand,3,2,0,5
48,NGR,Nigeria,0,0,2,2
49,NOR,Norway,5,0,1,6
50,PAR,Paraguay,0,1,0,1
51,CHN,People's Republic of China,32,17,14,63
52,POL,Poland,3,2,5,10
53,POR,Portugal,0,2,1,3
54,KOR,Republic of Korea,9,12,9,30
55,ROU,Romania,8,5,6,19
56,RUS,Russian Federation,28,26,36,90
57,SCG,Serbia and Montenegro,0,2,0,2
58,SVK,Slovakia,2,2,2,6
59,SLO,Slovenia,0,1,3,4
60,RSA,South Africa,1,3,2,6
61,ESP,Spain,3,11,6,20
62,SWE,Sweden,4,2,1,7
63,SUI,Switzerland,1,1,3,5
64,SYR,Syrian Arab Republic,0,0,1,1
65,THA,Thailand,3,1,4,8
66,TTO,Trinidad and Tobago,0,0,1,1
67,TUR,Türkiye,3,3,4,10
68,UKR,Ukraine,8,5,9,22
69,UAE,United Arab Emirates,1,0,0,1
70,USA,United States of America,36,39,26,101
71,UZB,Uzbekistan,2,1,2,5
72,VEN,Venezuela,0,0,2,2
73,ZIM,Zimbabwe,1,1,1,3
