,abv,country,gold,silver,bronze,total
0,ALG,Algeria,2,0,1,3
1,ARG,Argentina,0,2,1,3
2,ARM,Armenia,1,1,0,2
3,AUS,Australia,9,9,23,41
4,AUT,Austria,0,1,2,3
5,AZE,Azerbaijan,0,1,0,1
6,BAH,Bahamas,0,1,0,1
7,BOC,Belarus,1,6,8,15
8,BEL,Belgium,2,2,2,6
9,BRA,Brazil,3,3,9,15
10,BUL,Bulgaria,3,7,5,15
11,BDI,Burundi,1,0,0,1
12,CAN,Canada,3,11,8,22
13,TPE,Chinese Taipei,0,1,0,1
14,CRC,Costa Rica,1,0,0,1
15,CRO,Croatia,1,1,0,2
16,CUB,Cuba,9,8,8,25
17,CZE,Czechia,4,3,4,11
18,PRK,Democratic People's Republic of Korea,2,1,2,5
19,DEN,Denmark,4,1,1,6
20,ECU,Ecuador,1,0,0,1
21,ETH,Ethiopia,2,0,1,3
22,FIN,Finland,1,2,1,4
23,FRA,France,15,7,15,37
24,GEO,Georgia,0,0,2,2
25,GER,Germany,20,18,27,65
26,GBR,Great Britain,1,8,6,15
27,GRE,Greece,4,4,0,8
28,HKG,"Hong Kong, China",1,0,0,1
29,HUN,Hungary,7,4,10,21
30,IND,India,0,0,1,1
31,INA,Indonesia,1,1,2,4
32,IRL,Ireland,3,0,1,4
33,IRI,Islamic Republic of Iran,1,1,1,3
34,ISR,Israel,0,0,1,1
35,ITA,Italy,13,10,12,35
36,JAM,Jamaica,1,3,2,6
37,JPN,Japan,3,6,5,14
38,KAZ,Kazakhstan,3,4,4,11
39,KEN,Kenya,1,4,3,8
40,LAT,Latvia,0,1,0,1
41,LTU,Lithuania,0,0,1,1
42,MAS,Malaysia,0,1,1,2
43,MEX,Mexico,0,0,1,1
44,MGL,Mongolia,0,0,1,1
45,MAR,Morocco,0,0,2,2
46,MOZ,Mozambique,0,0,1,1
47,NAM,Namibia,0,2,0,2
48,NED,Netherlands,4,5,10,19
49,NZL,New Zealand,3,2,1,6
50,NGR,Nigeria,2,1,3,6
51,NOR,Norway,2,2,3,7
52,CHN,People's Republic of China,16,22,12,50
53,PHI,Philippines,0,1,0,1
54,POL,Poland,7,5,5,17
55,POR,Portugal,1,0,1,2
56,PUR,Puerto Rico,0,0,1,1
57,KOR,Republic of Korea,7,15,5,27
58,MDA,Republic of Moldova,0,1,1,2
59,ROU,Romania,4,7,9,20
60,RUS,Russian Federation,26,21,16,63
61,SCG,Serbia and Montenegro,1,1,2,4
62,SVK,Slovakia,1,1,1,3
63,SLO,Slovenia,0,2,0,2
64,RSA,South Africa,3,1,1,5
65,ESP,Spain,5,6,6,17
66,SWE,Sweden,2,4,2,8
67,SUI,Switzerland,4,3,0,7
68,SYR,Syrian Arab Republic,1,0,0,1
69,THA,Thailand,1,0,1,2
70,TGA,Tonga,0,1,0,1
71,TTO,Trinidad and Tobago,0,0,2,2
72,TUN,Tunisia,0,0,1,1
73,TUR,Türkiye,4,1,1,6
74,UGA,Uganda,0,0,1,1
75,UKR,Ukraine,9,2,12,23
76,USA,United States of America,44,32,25,101
77,UZB,Uzbekistan,0,1,1,2
78,ZAM,Zambia,0,1,0,1
