,abv,country,gold,silver,bronze,total
0,ALG,Algeria,1,0,1,2
1,ARG,Argentina,0,0,1,1
2,AUS,Australia,7,9,11,27
3,AUT,Austria,0,2,0,2
4,BAH,Bahamas,0,0,1,1
5,BEL,Belgium,0,1,2,3
6,BRA,Brazil,2,1,0,3
7,BUL,Bulgaria,3,7,6,16
8,CAN,Canada,7,4,7,18
9,TPE,Chinese Taipei,0,1,0,1
10,COL,Colombia,0,0,1,1
11,CRO,Croatia,0,1,2,3
12,CUB,Cuba,14,6,11,31
13,TCH,Czechoslovakia,4,2,1,7
14,PRK,Democratic People's Republic of Korea,4,0,5,9
15,DEN,Denmark,1,1,4,6
16,EST,Estonia,1,0,1,2
17,ETH,Ethiopia,1,0,2,3
18,FIN,Finland,1,2,2,5
19,FRA,France,8,5,16,29
20,GER,Germany,33,21,28,82
21,GHA,Ghana,0,0,1,1
22,GBR,Great Britain,5,3,12,20
23,GRE,Greece,2,0,0,2
24,HUN,Hungary,11,12,7,30
25,IOA,Independent Olympic Athletes,0,1,2,3
26,INA,Indonesia,2,2,1,5
27,IRL,Ireland,1,1,0,2
28,IRI,Islamic Republic of Iran,0,1,2,3
29,ISR,Israel,0,1,1,2
30,ITA,Italy,6,5,8,19
31,JAM,Jamaica,0,3,1,4
32,JPN,Japan,3,8,11,22
33,KEN,Kenya,2,4,2,8
34,LAT,Latvia,0,2,1,3
35,LTU,Lithuania,1,0,1,2
36,MAS,Malaysia,0,0,1,1
37,MEX,Mexico,0,1,0,1
38,MGL,Mongolia,0,0,2,2
39,MAR,Morocco,1,1,1,3
40,NAM,Namibia,0,2,0,2
41,NED,Netherlands,2,6,7,15
42,NZL,New Zealand,1,4,5,10
43,NGR,Nigeria,0,3,1,4
44,NOR,Norway,2,4,1,7
45,PAK,Pakistan,0,0,1,1
46,CHN,People's Republic of China,16,22,16,54
47,PER,Peru,0,1,0,1
48,PHI,Philippines,0,0,1,1
49,POL,Poland,3,6,10,19
50,PUR,Puerto Rico,0,0,1,1
51,QAT,Qatar,0,0,1,1
52,KOR,Republic of Korea,12,5,12,29
53,ROU,Romania,4,6,8,18
54,SLO,Slovenia,0,0,2,2
55,RSA,South Africa,0,2,0,2
56,ESP,Spain,13,7,2,22
57,SUR,Suriname,0,0,1,1
58,SWE,Sweden,1,7,4,12
59,SUI,Switzerland,1,0,0,1
60,THA,Thailand,0,0,1,1
61,TUR,Türkiye,2,2,2,6
62,EUN,Unified Team,45,38,29,112
63,USA,United States of America,37,34,37,108
