,abv,country,gold,silver,bronze,total
0,ARG,Argentina,2,2,3,7
1,AUS,Australia,0,0,1,1
2,AUT,Austria,5,7,5,17
3,BEL,Belgium,0,0,3,3
4,CAN,Canada,1,3,5,9
5,TCH,Czechoslovakia,3,5,1,9
6,DEN,Denmark,0,2,3,5
7,EGY,Egypt,2,1,2,5
8,EST,Estonia,2,2,3,7
9,FIN,Finland,8,6,6,20
10,FRA,France,7,6,6,19
11,GER,Germany,38,31,32,101
12,GBR,Great Britain,4,7,3,14
13,HUN,Hungary,10,1,5,16
14,IND,India,1,0,0,1
15,ITA,Italy,9,13,5,27
16,JPN,Japan,6,4,10,20
17,LAT,Latvia,0,1,1,2
18,MEX,Mexico,0,0,3,3
19,NED,Netherlands,6,4,7,17
20,NZL,New Zealand,1,0,0,1
21,NOR,Norway,1,3,2,6
22,PHI,Philippines,0,0,1,1
23,POL,Poland,0,4,5,9
24,POR,Portugal,0,0,1,1
25,ROU,Romania,0,1,0,1
26,RSA,South Africa,0,1,0,1
27,SWE,Sweden,6,5,10,21
28,SUI,Switzerland,4,9,5,18
29,TUR,Türkiye,1,0,1,2
30,USA,United States of America,24,21,12,57
31,YUG,Yugoslavia,0,1,0,1
