,abv,country,gold,silver,bronze,total
0,AUT,Austria,3,5,2,10
1,CAN,Canada,0,2,3,5
2,TCH,Czechoslovakia,0,1,2,3
3,FRG,Federal Republic of Germany,2,4,2,8
4,FIN,Finland,4,1,2,7
5,FRA,France,1,0,1,2
6,GDR,German Democratic Republic (Germany),9,10,6,25
7,ITA,Italy,2,1,2,5
8,JPN,Japan,0,0,1,1
9,LIE,Liechtenstein,0,0,1,1
10,NED,Netherlands,3,2,2,7
11,NOR,Norway,0,3,2,5
12,SWE,Sweden,4,0,2,6
13,SUI,Switzerland,5,5,5,15
14,USSR,USSR,11,9,9,29
15,USA,United States of America,2,1,3,6
16,YUG,Yugoslavia,0,2,1,3
