,abv,country,gold,silver,bronze,total
0,AUT,Austria,3,2,2,7
1,BUL,Bulgaria,0,0,1,1
2,CAN,Canada,0,1,1,2
3,TCH,Czechoslovakia,0,0,1,1
4,FRG,Federal Republic of Germany,0,2,3,5
5,FIN,Finland,1,5,3,9
6,FRA,France,0,0,1,1
7,GDR,German Democratic Republic (Germany),9,7,7,23
8,GBR,Great Britain,1,0,0,1
9,HUN,Hungary,0,1,0,1
10,ITA,Italy,0,2,0,2
11,JPN,Japan,0,1,0,1
12,LIE,Liechtenstein,2,2,0,4
13,NED,Netherlands,1,2,1,4
14,NOR,Norway,1,3,6,10
15,SWE,Sweden,3,0,1,4
16,SUI,Switzerland,1,1,3,5
17,USSR,USSR,10,6,6,22
18,USA,United States of America,6,4,2,12
