,abv,country,gold,silver,bronze,total
0,AUS,Australia,0,0,1,1
1,AUT,Austria,2,3,4,9
2,BOC,Belarus,0,2,0,2
3,CAN,Canada,3,6,4,13
4,FIN,Finland,0,1,5,6
5,FRA,France,0,1,4,5
6,GER,Germany,9,7,8,24
7,GBR,Great Britain,0,0,2,2
8,ITA,Italy,7,5,8,20
9,JPN,Japan,1,2,2,5
10,KAZ,Kazakhstan,1,2,0,3
11,NED,Netherlands,0,1,3,4
12,NOR,Norway,10,11,5,26
13,CHN,People's Republic of China,0,1,2,3
14,KOR,Republic of Korea,4,1,1,6
15,RUS,Russian Federation,11,8,4,23
16,SLO,Slovenia,0,0,3,3
17,SWE,Sweden,2,1,0,3
18,SUI,Switzerland,3,4,2,9
19,UKR,Ukraine,1,0,1,2
20,USA,United States of America,6,5,2,13
21,UZB,Uzbekistan,1,0,0,1
