,abv,country,gold,silver,bronze,total
0,AUS,Australia,1,2,2,5
1,AUT,Austria,0,0,1,1
2,BEL,Belgium,1,5,2,8
3,CAN,Canada,3,3,10,16
4,CZE,Czechia,0,0,2,2
5,DEN,Denmark,0,2,3,5
6,FIN,Finland,1,1,3,5
7,FRA,France,5,5,9,19
8,GER,Germany,3,5,5,13
9,GBR,Great Britain,56,51,39,146
10,GRE,Greece,0,3,1,4
11,HUN,Hungary,3,4,2,9
12,ITA,Italy,2,2,0,4
13,NED,Netherlands,0,0,2,2
14,NOR,Norway,2,3,3,8
15,RUS,Russian Federation,1,2,0,3
16,RSA,South Africa,1,1,0,2
17,SWE,Sweden,8,6,11,25
18,USA,United States of America,23,12,12,47
