,country,gold,silver,bronze,total
0,Argentina,3,3,1,7
1,Australia,2,6,5,13
2,Austria,2,2,4,8
3,Belgium,2,2,3,7
4,Brazil,-,-,1,1
5,Canada,-,2,2,4
6,Cuba,-,1,-,1
7,Czechoslovakia,6,2,3,11
8,Denmark,5,8,9,22
9,Egypt,2,2,1,5
10,Finland,10,8,6,24
11,France,11,6,15,32
12,Great Britain,4,16,7,27
13,Hungary,10,5,13,28
14,India,1,-,-,1
15,Ireland,-,-,1,1
16,Islamic Republic of Iran,-,-,1,1
17,Italy,9,12,10,31
18,Jamaica,1,2,-,3
19,Mexico,2,1,2,5
20,Netherlands,5,2,9,16
21,Norway,1,3,3,7
22,Panama,-,-,2,2
23,Peru,1,-,-,1
24,Poland,1,-,1,2
25,Portugal,-,1,1,2
26,Puerto Rico,-,-,1,1
27,Republic of Korea,-,-,2,2
28,South Africa,2,2,2,6
29,Spain,-,1,-,1
30,Sri Lanka,-,1,-,1
31,Sweden,17,11,18,46
32,Switzerland,5,12,6,23
33,Trinidad and Tobago,-,1,-,1
34,Türkiye,6,4,2,12
35,United States of America,38,27,19,84
36,Uruguay,-,1,1,2
37,Yugoslavia,-,2,-,2
