,abv,country,gold,silver,bronze,total
0,ALG,Algeria,0,0,2,2
1,AUS,Australia,4,8,12,24
2,AUT,Austria,1,1,1,3
3,BEL,Belgium,1,1,2,4
4,BRA,Brazil,1,5,2,8
5,CMR,Cameroon,0,0,1,1
6,CAN,Canada,10,18,16,44
7,TPE,Chinese Taipei,0,0,1,1
8,COL,Colombia,0,1,0,1
9,CIV,Côte d'Ivoire,0,1,0,1
10,DEN,Denmark,0,3,3,6
11,DOM,Dominican Republic,0,0,1,1
12,EGY,Egypt,0,1,0,1
13,FRG,Federal Republic of Germany,17,19,23,59
14,FIN,Finland,4,2,6,12
15,FRA,France,5,7,16,28
16,GBR,Great Britain,5,11,21,37
17,GRE,Greece,0,1,1,2
18,ISL,Iceland,0,0,1,1
19,IRL,Ireland,0,1,0,1
20,ITA,Italy,14,6,12,32
21,JAM,Jamaica,0,1,2,3
22,JPN,Japan,10,8,14,32
23,KEN,Kenya,1,0,2,3
24,MEX,Mexico,2,3,1,6
25,MAR,Morocco,2,0,0,2
26,NED,Netherlands,5,2,6,13
27,NZL,New Zealand,8,1,2,11
28,NGR,Nigeria,0,1,1,2
29,NOR,Norway,0,1,2,3
30,PAK,Pakistan,1,0,0,1
31,CHN,People's Republic of China,15,8,9,32
32,PER,Peru,0,1,0,1
33,POR,Portugal,1,0,2,3
34,PUR,Puerto Rico,0,1,1,2
35,KOR,Republic of Korea,6,6,7,19
36,ROU,Romania,20,16,17,53
37,ESP,Spain,1,2,2,5
38,SWE,Sweden,2,11,6,19
39,SUI,Switzerland,0,4,4,8
40,SYR,Syrian Arab Republic,0,1,0,1
41,THA,Thailand,0,1,0,1
42,TUR,Türkiye,0,0,3,3
43,USA,United States of America,83,61,30,174
44,VEN,Venezuela,0,0,3,3
45,YUG,Yugoslavia,7,4,7,18
46,ZAM,Zambia,0,0,1,1
