,abv,country,gold,silver,bronze,total
0,ARG,Argentina,0,1,1,2
1,AUS,Australia,13,8,14,35
2,AUT,Austria,0,0,2,2
3,BAH,Bahamas,0,0,1,1
4,BEL,Belgium,0,2,0,2
5,BRA,Brazil,1,0,0,1
6,BUL,Bulgaria,1,3,1,5
7,CAN,Canada,2,1,2,5
8,CHI,Chile,0,2,2,4
9,TCH,Czechoslovakia,1,4,1,6
10,DEN,Denmark,1,1,1,3
11,FIN,Finland,3,1,11,15
12,FRA,France,4,4,6,14
13,GER,Germany,4,10,6,20
14,GBR,Great Britain,5,7,9,21
15,GRE,Greece,0,0,1,1
16,HUN,Hungary,9,10,7,26
17,ISL,Iceland,0,1,0,1
18,IND,India,1,0,0,1
19,IRL,Ireland,1,1,3,5
20,IRI,Islamic Republic of Iran,2,2,1,5
21,ITA,Italy,8,6,8,22
22,JPN,Japan,4,10,5,19
23,MEX,Mexico,1,0,1,2
24,NZL,New Zealand,2,0,0,2
25,NOR,Norway,1,0,2,3
26,PAK,Pakistan,0,1,0,1
27,POL,Poland,1,4,4,9
28,KOR,Republic of Korea,0,1,1,2
29,ROU,Romania,5,3,5,13
30,RSA,South Africa,0,0,4,4
31,SWE,Sweden,5,5,6,16
32,TUR,Türkiye,3,2,2,7
33,USSR,USSR,37,29,32,98
34,USA,United States of America,32,25,17,74
35,URU,Uruguay,0,0,1,1
36,YUG,Yugoslavia,0,3,0,3
