,abv,country,gold,silver,bronze,total
0,ARG,Argentina,0,0,2,2
1,AUS,Australia,5,7,5,17
2,AUT,Austria,0,2,2,4
3,BEL,Belgium,0,1,1,2
4,BRA,Brazil,0,1,2,3
5,BUL,Bulgaria,2,4,3,9
6,CMR,Cameroon,0,1,0,1
7,CAN,Canada,1,3,1,5
8,TPE,Chinese Taipei,0,0,1,1
9,CUB,Cuba,0,4,0,4
10,TCH,Czechoslovakia,7,2,4,13
11,DEN,Denmark,1,4,3,8
12,ETH,Ethiopia,1,1,0,2
13,FRG,Federal Republic of Germany,5,11,10,26
14,FIN,Finland,1,2,1,4
15,FRA,France,7,3,5,15
16,GDR,German Democratic Republic (Germany),9,9,7,25
17,GBR,Great Britain,5,5,3,13
18,GRE,Greece,0,0,1,1
19,HUN,Hungary,10,10,12,32
20,IND,India,0,0,1,1
21,IRI,Islamic Republic of Iran,2,1,2,5
22,ITA,Italy,3,4,9,16
23,JAM,Jamaica,0,1,0,1
24,JPN,Japan,11,7,7,25
25,KEN,Kenya,3,4,2,9
26,MEX,Mexico,3,3,3,9
27,MGL,Mongolia,0,1,3,4
28,NED,Netherlands,3,3,1,7
29,NZL,New Zealand,1,0,2,3
30,NOR,Norway,1,1,0,2
31,PAK,Pakistan,1,0,0,1
32,POL,Poland,5,2,11,18
33,KOR,Republic of Korea,0,1,1,2
34,ROU,Romania,4,6,5,15
35,SWE,Sweden,2,1,1,4
36,SUI,Switzerland,0,1,4,5
37,TUN,Tunisia,1,0,1,2
38,TUR,Türkiye,2,0,0,2
39,USSR,USSR,29,32,30,91
40,UGA,Uganda,0,1,1,2
41,USA,United States of America,45,28,34,107
42,VEN,Venezuela,1,0,0,1
43,YUG,Yugoslavia,3,3,2,8
