,abv,country,gold,silver,bronze,total
0,AUS,Australia,0,1,4,5
1,AUT,Austria,0,0,1,1
2,BEL,Belgium,0,3,3,6
3,BER,Bermuda,0,0,1,1
4,BRA,Brazil,0,0,2,2
5,BUL,Bulgaria,6,9,7,22
6,CAN,Canada,0,5,6,11
7,CUB,Cuba,6,4,3,13
8,TCH,Czechoslovakia,2,2,4,8
9,PRK,Democratic People's Republic of Korea,1,1,0,2
10,DEN,Denmark,1,0,2,3
11,FRG,Federal Republic of Germany,10,12,17,39
12,FIN,Finland,4,2,0,6
13,FRA,France,2,3,4,9
14,GDR,German Democratic Republic (Germany),40,25,25,90
15,GBR,Great Britain,3,5,5,13
16,HUN,Hungary,4,5,13,22
17,IRI,Islamic Republic of Iran,0,1,1,2
18,ITA,Italy,2,7,4,13
19,JAM,Jamaica,1,1,0,2
20,JPN,Japan,9,6,10,25
21,MEX,Mexico,1,0,1,2
22,MGL,Mongolia,0,1,0,1
23,NED,Netherlands,0,2,3,5
24,NZL,New Zealand,2,1,1,4
25,NOR,Norway,1,1,0,2
26,PAK,Pakistan,0,0,1,1
27,POL,Poland,7,6,13,26
28,POR,Portugal,0,2,0,2
29,PUR,Puerto Rico,0,0,1,1
30,KOR,Republic of Korea,1,1,4,6
31,ROU,Romania,4,9,14,27
32,ESP,Spain,0,2,0,2
33,SWE,Sweden,4,1,0,5
34,SUI,Switzerland,1,1,2,4
35,THA,Thailand,0,0,1,1
36,TTO,Trinidad and Tobago,1,0,0,1
37,USSR,USSR,49,41,35,125
38,USA,United States of America,34,35,25,94
39,VEN,Venezuela,0,1,0,1
40,YUG,Yugoslavia,2,3,3,8
