,abv,country,gold,silver,bronze,total
0,AUS,Australia,2,2,5,9
1,AUT,Austria,1,2,1,4
2,BEL,Belgium,1,0,0,1
3,BRA,Brazil,2,0,2,4
4,BUL,Bulgaria,8,16,17,41
5,CUB,Cuba,8,7,5,20
6,TCH,Czechoslovakia,2,3,9,14
7,PRK,Democratic People's Republic of Korea,0,3,2,5
8,DEN,Denmark,2,1,2,5
9,ETH,Ethiopia,2,0,2,4
10,FIN,Finland,3,1,4,8
11,FRA,France,6,5,3,14
12,GDR,German Democratic Republic (Germany),47,37,42,126
13,GBR,Great Britain,5,7,9,21
14,GRE,Greece,1,0,2,3
15,GUY,Guyana,0,0,1,1
16,HUN,Hungary,7,10,15,32
17,IND,India,1,0,0,1
18,IRL,Ireland,0,1,1,2
19,ITA,Italy,8,3,4,15
20,JAM,Jamaica,0,0,3,3
21,LBN,Lebanon,0,0,1,1
22,MEX,Mexico,0,1,3,4
23,MGL,Mongolia,0,2,2,4
24,NED,Netherlands,0,1,2,3
25,POL,Poland,3,14,15,32
26,ROU,Romania,6,6,13,25
27,ESP,Spain,1,3,2,6
28,SWE,Sweden,3,3,6,12
29,SUI,Switzerland,2,0,0,2
30,USSR,USSR,80,69,46,195
31,UGA,Uganda,0,1,0,1
32,TAN,United Republic of Tanzania,0,2,0,2
33,VEN,Venezuela,0,1,0,1
34,YUG,Yugoslavia,2,3,4,9
35,ZIM,Zimbabwe,1,0,0,1
