,abv,country,gold,silver,bronze,total
0,AUS,Australia,0,0,1,1
1,AUT,Austria,3,5,9,17
2,BOC,Belarus,0,0,2,2
3,BEL,Belgium,0,0,1,1
4,BUL,Bulgaria,1,0,0,1
5,CAN,Canada,6,5,4,15
6,CZE,Czechia,1,1,1,3
7,DEN,Denmark,0,1,0,1
8,FIN,Finland,2,4,6,12
9,FRA,France,2,1,5,8
10,GER,Germany,12,9,8,29
11,GBR,Great Britain,0,0,1,1
12,ITA,Italy,2,6,2,10
13,JPN,Japan,5,1,4,10
14,KAZ,Kazakhstan,0,0,2,2
15,NED,Netherlands,5,4,2,11
16,NOR,Norway,10,10,5,25
17,CHN,People's Republic of China,0,6,2,8
18,KOR,Republic of Korea,3,1,2,6
19,RUS,Russian Federation,9,6,3,18
20,SWE,Sweden,0,2,1,3
21,SUI,Switzerland,2,2,3,7
22,UKR,Ukraine,0,1,0,1
23,USA,United States of America,6,3,4,13
