,country,gold,silver,bronze,total
0,Algeria,-,2,-,2
1,Argentina,3,1,-,4
2,Armenia,1,3,-,4
3,Australia,8,11,10,29
4,Austria,-,-,1,1
5,Azerbaijan,1,3,5,9
6,Bahamas,1,-,-,1
7,Bahrain,1,-,-,1
8,Belarus,1,3,4,8
9,Belgium,2,2,2,6
10,Brazil,7,5,5,17
11,Bulgaria,-,1,2,3
12,Burundi,-,1,-,1
13,Canada,3,3,11,17
14,Chinese Taipei,1,-,2,3
15,Colombia,2,2,3,7
16,Croatia,5,3,2,10
17,Cuba,3,2,1,6
18,Czechia,1,2,7,10
19,Côte d'Ivoire,1,-,1,2
20,Democratic People's Republic of Korea,1,1,2,4
21,Denmark,2,6,6,14
22,Dominican Republic,-,-,1,1
23,Egypt,-,-,2,2
24,Estonia,-,-,1,1
25,Ethiopia,-,-,1,1
26,Fiji,1,-,-,1
27,Finland,-,-,1,1
28,France,10,18,14,42
29,Georgia,2,1,4,7
30,Germany,14,8,14,36
31,Great Britain,26,22,13,61
32,Greece,3,1,2,6
33,Grenada,-,1,-,1
34,Hungary,8,3,4,15
35,Independent Olympic Athletes,1,-,1,2
36,India,-,1,1,2
37,Indonesia,1,2,-,3
38,Ireland,-,2,-,2
39,Islamic Republic of Iran,2,-,1,3
40,Israel,-,-,2,2
41,Italy,8,12,8,28
42,Jamaica,-,-,1,1
43,Japan,12,8,21,41
44,Jordan,1,-,-,1
45,Kazakhstan,2,4,7,13
46,Kenya,-,1,-,1
47,Kosovo,1,-,-,1
48,Lithuania,-,1,3,4
49,Malaysia,-,4,1,5
50,Mexico,-,3,2,5
51,Mongolia,-,1,1,2
52,Morocco,-,-,1,1
53,Netherlands,8,7,4,19
54,New Zealand,4,9,5,18
55,Niger,-,1,-,1
56,Nigeria,-,-,1,1
57,Norway,-,-,4,4
58,People's Republic of China,22,15,24,61
59,Philippines,-,1,-,1
60,Poland,2,3,6,11
61,Portugal,-,-,1,1
62,Puerto Rico,1,-,-,1
63,Qatar,-,1,-,1
64,Republic of Korea,6,3,9,18
65,Romania,1,1,2,4
66,Russian Federation,15,15,17,47
67,Serbia,2,4,2,8
68,Singapore,1,-,-,1
69,Slovakia,2,2,-,4
70,Slovenia,1,2,1,4
71,South Africa,1,4,2,7
72,Spain,7,4,6,17
73,Sweden,2,5,2,9
74,Switzerland,3,2,2,7
75,Tajikistan,1,-,-,1
76,Thailand,-,1,2,3
77,Trinidad and Tobago,-,-,1,1
78,Tunisia,-,-,3,3
79,Türkiye,-,1,3,4
80,Ukraine,1,5,4,10
81,United Arab Emirates,-,-,1,1
82,United States of America,17,20,21,58
83,Uzbekistan,2,-,5,7
84,Venezuela,-,2,1,3
85,Vietnam,1,1,-,2
