,abv,country,gold,silver,bronze,total
0,AUS,Australia,2,0,0,2
1,AUT,Austria,3,4,10,17
2,BOC,Belarus,0,0,1,1
3,BUL,Bulgaria,0,1,2,3
4,CAN,Canada,7,3,7,17
5,CRO,Croatia,3,1,0,4
6,CZE,Czechia,1,2,0,3
7,EST,Estonia,1,1,1,3
8,FIN,Finland,4,2,1,7
9,FRA,France,4,5,2,11
10,GER,Germany,12,16,8,36
11,GBR,Great Britain,1,0,1,2
12,ITA,Italy,4,4,5,13
13,JPN,Japan,0,1,1,2
14,NED,Netherlands,3,5,0,8
15,NOR,Norway,13,5,7,25
16,CHN,People's Republic of China,2,2,4,8
17,POL,Poland,0,1,1,2
18,KOR,Republic of Korea,2,2,0,4
19,RUS,Russian Federation,5,4,4,13
20,SLO,Slovenia,0,0,1,1
21,SWE,Sweden,0,2,5,7
22,SUI,Switzerland,3,2,6,11
23,USA,United States of America,10,13,11,34
