,abv,country,gold,silver,bronze,total
0,AUT,Austria,0,0,1,1
1,CAN,Canada,2,1,1,4
2,TCH,Czechoslovakia,0,2,4,6
3,FRG,Federal Republic of Germany,2,1,1,4
4,FIN,Finland,4,3,6,13
5,FRA,France,0,1,2,3
6,GDR,German Democratic Republic (Germany),9,9,6,24
7,GBR,Great Britain,1,0,0,1
8,ITA,Italy,2,0,0,2
9,JPN,Japan,0,1,0,1
10,LIE,Liechtenstein,0,0,2,2
11,NOR,Norway,3,2,4,9
12,SWE,Sweden,4,2,2,8
13,SUI,Switzerland,2,2,1,5
14,USSR,USSR,6,10,9,25
15,USA,United States of America,4,4,0,8
16,YUG,Yugoslavia,0,1,0,1
