,abv,country,gold,silver,bronze,total
0,ARG,Argentina,0,1,1,2
1,AUS,Australia,3,6,5,14
2,AUT,Austria,1,0,0,1
3,BEL,Belgium,0,0,2,2
4,BRA,Brazil,1,2,3,6
5,BUL,Bulgaria,10,12,13,35
6,CAN,Canada,3,2,5,10
7,CHI,Chile,0,1,0,1
8,COL,Colombia,0,0,1,1
9,CRC,Costa Rica,0,1,0,1
10,TCH,Czechoslovakia,3,3,2,8
11,DEN,Denmark,2,1,1,4
12,DJI,Djibouti,0,0,1,1
13,FRG,Federal Republic of Germany,11,14,15,40
14,FIN,Finland,1,1,2,4
15,FRA,France,6,4,6,16
16,GDR,German Democratic Republic (Germany),37,35,30,102
17,GBR,Great Britain,5,10,9,24
18,GRE,Greece,0,0,1,1
19,HUN,Hungary,11,6,6,23
20,INA,Indonesia,0,1,0,1
21,IRI,Islamic Republic of Iran,0,1,0,1
22,ITA,Italy,6,4,4,14
23,JAM,Jamaica,0,2,0,2
24,JPN,Japan,4,3,7,14
25,KEN,Kenya,5,2,2,9
26,MEX,Mexico,0,0,2,2
27,MGL,Mongolia,0,0,1,1
28,MAR,Morocco,1,0,2,3
29,NED,Netherlands,2,2,5,9
30,AHO,Netherlands Antilles,0,1,0,1
31,NZL,New Zealand,3,2,8,13
32,NOR,Norway,2,3,0,5
33,PAK,Pakistan,0,0,1,1
34,CHN,People's Republic of China,5,11,12,28
35,PER,Peru,0,1,0,1
36,PHI,Philippines,0,0,1,1
37,POL,Poland,2,5,9,16
38,POR,Portugal,1,0,0,1
39,KOR,Republic of Korea,12,10,11,33
40,ROU,Romania,7,11,6,24
41,SEN,Senegal,0,1,0,1
42,ESP,Spain,1,1,2,4
43,SUR,Suriname,1,0,0,1
44,SWE,Sweden,0,4,7,11
45,SUI,Switzerland,0,2,2,4
46,THA,Thailand,0,0,1,1
47,TUR,Türkiye,1,1,0,2
48,USSR,USSR,55,31,46,132
49,USA,United States of America,36,31,27,94
50,ISV,"Virgin Islands, US",0,1,0,1
51,YUG,Yugoslavia,3,4,5,12
