,abv,country,gold,silver,bronze,total
0,AUS,Australia,0,2,1,3
1,AUT,Austria,4,8,5,17
2,BOC,Belarus,5,0,1,6
3,CAN,Canada,10,10,5,25
4,CRO,Croatia,0,1,0,1
5,CZE,Czechia,2,4,3,9
6,FIN,Finland,1,3,1,5
7,FRA,France,4,4,7,15
8,GER,Germany,8,6,5,19
9,GBR,Great Britain,1,1,3,5
10,ITA,Italy,0,2,6,8
11,JPN,Japan,1,4,3,8
12,KAZ,Kazakhstan,0,0,1,1
13,LAT,Latvia,1,1,3,5
14,NED,Netherlands,8,7,9,24
15,NOR,Norway,11,6,9,26
16,CHN,People's Republic of China,3,4,2,9
17,POL,Poland,4,1,1,6
18,KOR,Republic of Korea,3,3,2,8
19,RUS,Russian Federation,10,10,9,29
20,SVK,Slovakia,1,0,0,1
21,SLO,Slovenia,2,2,4,8
22,SWE,Sweden,2,7,6,15
23,SUI,Switzerland,7,2,2,11
24,UKR,Ukraine,1,0,1,2
25,USA,United States of America,9,9,10,28
