,abv,country,gold,silver,bronze,total
0,AUS,Australia,2,2,3,7
1,AUT,Austria,0,2,2,4
2,BEL,Belgium,2,1,3,6
3,CAN,Canada,3,2,3,8
4,DEN,Denmark,1,6,5,12
5,FIN,Finland,9,8,9,26
6,FRA,France,7,5,3,15
7,GER,Germany,6,13,7,26
8,GBR,Great Britain,10,15,16,41
9,GRE,Greece,1,0,1,2
10,HUN,Hungary,3,2,3,8
11,ITA,Italy,5,1,2,8
12,NED,Netherlands,0,0,3,3
13,NOR,Norway,3,2,5,10
14,RUS,Russian Federation,0,2,3,5
15,RSA,South Africa,4,2,0,6
16,SWE,Sweden,23,25,17,65
17,SUI,Switzerland,1,0,0,1
18,USA,United States of America,26,19,19,64
