,abv,country,gold,silver,bronze,total
0,ALG,Algeria,1,1,3,5
1,ARG,Argentina,0,2,2,4
2,ARM,Armenia,0,0,1,1
3,AUS,Australia,16,25,17,58
4,AUT,Austria,2,1,0,3
5,AZE,Azerbaijan,2,0,1,3
6,BAH,Bahamas,2,0,1,3
7,BAR,Barbados,0,0,1,1
8,BOC,Belarus,3,3,11,17
9,BEL,Belgium,0,2,3,5
10,BRA,Brazil,0,6,6,12
11,BUL,Bulgaria,5,6,2,13
12,CMR,Cameroon,1,0,0,1
13,CAN,Canada,3,3,8,14
14,CHI,Chile,0,0,1,1
15,TPE,Chinese Taipei,0,1,4,5
16,COL,Colombia,1,0,0,1
17,CRC,Costa Rica,0,0,2,2
18,CRO,Croatia,1,0,1,2
19,CUB,Cuba,11,11,7,29
20,CZE,Czechia,2,3,3,8
21,PRK,Democratic People's Republic of Korea,0,1,3,4
22,DEN,Denmark,2,3,1,6
23,EST,Estonia,1,0,2,3
24,ETH,Ethiopia,4,1,3,8
25,FIN,Finland,2,1,1,4
26,FRA,France,13,14,11,38
27,GEO,Georgia,0,0,6,6
28,GER,Germany,13,17,26,56
29,GBR,Great Britain,11,10,7,28
30,GRE,Greece,4,6,3,13
31,HUN,Hungary,8,6,3,17
32,ISL,Iceland,0,0,1,1
33,IND,India,0,0,1,1
34,INA,Indonesia,1,3,2,6
35,IRL,Ireland,0,1,0,1
36,IRI,Islamic Republic of Iran,3,0,1,4
37,ISR,Israel,0,0,1,1
38,ITA,Italy,13,8,13,34
39,JAM,Jamaica,0,6,3,9
40,JPN,Japan,5,8,5,18
41,KAZ,Kazakhstan,3,4,0,7
42,KEN,Kenya,2,3,2,7
43,KUW,Kuwait,0,0,1,1
44,KGZ,Kyrgyzstan,0,0,1,1
45,LAT,Latvia,1,1,1,3
46,LTU,Lithuania,2,0,3,5
47,MEX,Mexico,1,2,3,6
48,MAR,Morocco,0,1,4,5
49,MOZ,Mozambique,1,0,0,1
50,NED,Netherlands,12,9,4,25
51,NZL,New Zealand,1,0,3,4
52,NGR,Nigeria,1,2,0,3
53,MKD,North Macedonia,0,0,1,1
54,NOR,Norway,4,3,3,10
55,CHN,People's Republic of China,28,16,14,58
56,POL,Poland,6,5,3,14
57,POR,Portugal,0,0,2,2
58,QAT,Qatar,0,0,1,1
59,KOR,Republic of Korea,8,10,10,28
60,MDA,Republic of Moldova,0,1,1,2
61,ROU,Romania,11,6,9,26
62,RUS,Russian Federation,32,28,29,89
63,KSA,Saudi Arabia,0,1,1,2
64,SCG,Serbia and Montenegro,1,1,1,3
65,SVK,Slovakia,1,3,1,5
66,SLO,Slovenia,2,0,0,2
67,RSA,South Africa,0,2,3,5
68,ESP,Spain,3,3,5,11
69,SRI,Sri Lanka,0,1,0,1
70,SWE,Sweden,4,5,3,12
71,SUI,Switzerland,1,6,2,9
72,THA,Thailand,1,0,2,3
73,TTO,Trinidad and Tobago,0,1,1,2
74,TUR,Türkiye,3,0,2,5
75,UKR,Ukraine,3,10,10,23
76,USA,United States of America,37,24,32,93
77,URU,Uruguay,0,1,0,1
78,UZB,Uzbekistan,1,1,2,4
79,VIE,Vietnam,0,1,0,1
