,abv,country,gold,silver,bronze,total
0,ARG,Argentina,0,1,0,1
1,AUS,Australia,6,2,10,18
2,BAH,Bahamas,1,0,0,1
3,BEL,Belgium,2,0,1,3
4,BRA,Brazil,0,0,1,1
5,BUL,Bulgaria,3,5,2,10
6,CAN,Canada,1,2,1,4
7,CUB,Cuba,0,1,0,1
8,TCH,Czechoslovakia,5,6,3,14
9,DEN,Denmark,2,1,3,6
10,ETH,Ethiopia,1,0,0,1
11,FIN,Finland,3,0,2,5
12,FRA,France,1,8,6,15
13,GER,Germany,10,22,18,50
14,GHA,Ghana,0,0,1,1
15,GBR,Great Britain,4,12,2,18
16,HUN,Hungary,10,7,5,22
17,IND,India,1,0,0,1
18,IRL,Ireland,0,0,1,1
19,IRI,Islamic Republic of Iran,0,0,2,2
20,ITA,Italy,10,10,7,27
21,JPN,Japan,16,5,8,29
22,KEN,Kenya,0,0,1,1
23,MEX,Mexico,0,0,1,1
24,NED,Netherlands,2,4,4,10
25,NZL,New Zealand,3,0,2,5
26,NGR,Nigeria,0,0,1,1
27,PAK,Pakistan,0,1,0,1
28,PHI,Philippines,0,1,0,1
29,POL,Poland,7,6,10,23
30,KOR,Republic of Korea,0,2,1,3
31,ROU,Romania,2,4,6,12
32,SWE,Sweden,2,2,4,8
33,SUI,Switzerland,1,2,1,4
34,TTO,Trinidad and Tobago,0,1,2,3
35,TUN,Tunisia,0,1,1,2
36,TUR,Türkiye,2,3,1,6
37,USSR,USSR,30,31,35,96
38,USA,United States of America,36,26,28,90
39,URU,Uruguay,0,0,1,1
40,YUG,Yugoslavia,2,1,2,5
