,abv,country,gold,silver,bronze,total
0,AUS,Australia,1,0,1,2
1,AUT,Austria,9,7,7,23
2,BOC,Belarus,0,1,0,1
3,BUL,Bulgaria,0,1,0,1
4,CAN,Canada,7,10,7,24
5,CRO,Croatia,1,2,0,3
6,CZE,Czechia,1,2,1,4
7,EST,Estonia,3,0,0,3
8,FIN,Finland,0,6,3,9
9,FRA,France,3,2,4,9
10,GER,Germany,11,12,6,29
11,GBR,Great Britain,0,1,0,1
12,ITA,Italy,5,0,6,11
13,JPN,Japan,1,0,0,1
14,LAT,Latvia,0,0,1,1
15,NED,Netherlands,3,2,4,9
16,NOR,Norway,2,8,9,19
17,CHN,People's Republic of China,2,4,5,11
18,POL,Poland,0,1,1,2
19,KOR,Republic of Korea,6,3,2,11
20,RUS,Russian Federation,8,6,8,22
21,SVK,Slovakia,0,1,0,1
22,SWE,Sweden,7,2,5,14
23,SUI,Switzerland,5,4,5,14
24,UKR,Ukraine,0,0,2,2
25,USA,United States of America,9,9,7,25
