,abv,country,gold,silver,bronze,total
0,AUS,Australia,2,1,0,3
1,AUT,Austria,4,6,6,16
2,BOC,Belarus,1,1,1,3
3,CAN,Canada,14,7,5,26
4,CRO,Croatia,0,2,1,3
5,CZE,Czechia,2,0,4,6
6,EST,Estonia,0,1,0,1
7,FIN,Finland,0,1,4,5
8,FRA,France,2,3,6,11
9,GER,Germany,10,13,7,30
10,GBR,Great Britain,1,0,0,1
11,ITA,Italy,1,1,3,5
12,JPN,Japan,0,3,2,5
13,KAZ,Kazakhstan,0,1,0,1
14,LAT,Latvia,0,2,0,2
15,NED,Netherlands,4,1,3,8
16,NOR,Norway,9,8,6,23
17,CHN,People's Republic of China,5,2,4,11
18,POL,Poland,1,3,2,6
19,KOR,Republic of Korea,6,6,2,14
20,RUS,Russian Federation,3,5,7,15
21,SVK,Slovakia,1,1,1,3
22,SLO,Slovenia,0,2,1,3
23,SWE,Sweden,5,2,4,11
24,SUI,Switzerland,6,0,3,9
25,USA,United States of America,9,15,13,37
